Time,2.05,2.67,4.83,6.57,7.91,8.1,9.2,6.95,5.74,4.58,2.37,0.37,
27,-4.52E-01,-8.84E-01,-1.88E+00,-2.38E+00,-3.01E+00,-3.37E+00,-3.99E+00,-3.68E+00,-3.18E+00,-2.64E+00,-1.32E+00,-7.41E-01,
28,-4.46E-01,-8.64E-01,-1.84E+00,-2.33E+00,-2.94E+00,-3.31E+00,-3.91E+00,-3.58E+00,-3.10E+00,-2.57E+00,-1.29E+00,-7.33E-01,
29,-4.39E-01,-8.45E-01,-1.80E+00,-2.28E+00,-2.88E+00,-3.25E+00,-3.83E+00,-3.48E+00,-3.02E+00,-2.50E+00,-1.27E+00,-7.22E-01,
30,-4.32E-01,-8.29E-01,-1.76E+00,-2.23E+00,-2.82E+00,-3.21E+00,-3.76E+00,-3.40E+00,-2.94E+00,-2.43E+00,-1.25E+00,-7.15E-01,
31,-4.25E-01,-8.09E-01,-1.73E+00,-2.19E+00,-2.76E+00,-3.16E+00,-3.68E+00,-3.32E+00,-2.87E+00,-2.38E+00,-1.23E+00,-7.08E-01,
32,-4.19E-01,-7.95E-01,-1.70E+00,-2.15E+00,-2.70E+00,-3.12E+00,-3.62E+00,-3.24E+00,-2.80E+00,-2.32E+00,-1.20E+00,-6.98E-01,
33,-4.14E-01,-7.79E-01,-1.67E+00,-2.12E+00,-2.65E+00,-3.08E+00,-3.56E+00,-3.17E+00,-2.74E+00,-2.27E+00,-1.18E+00,-6.93E-01,
34,-4.08E-01,-7.67E-01,-1.64E+00,-2.08E+00,-2.61E+00,-3.05E+00,-3.50E+00,-3.11E+00,-2.69E+00,-2.22E+00,-1.17E+00,-6.88E-01,
35,-4.03E-01,-7.52E-01,-1.63E+00,-2.06E+00,-2.57E+00,-3.02E+00,-3.45E+00,-3.04E+00,-2.63E+00,-2.18E+00,-1.15E+00,-6.82E-01,
36,-3.98E-01,-7.40E-01,-1.60E+00,-2.02E+00,-2.53E+00,-2.99E+00,-3.40E+00,-2.99E+00,-2.58E+00,-2.13E+00,-1.13E+00,-6.77E-01,
37,-3.94E-01,-7.28E-01,-1.58E+00,-1.99E+00,-2.49E+00,-2.97E+00,-3.35E+00,-2.93E+00,-2.53E+00,-2.09E+00,-1.12E+00,-6.70E-01,
38,-3.89E-01,-7.18E-01,-1.56E+00,-1.96E+00,-2.45E+00,-2.94E+00,-3.31E+00,-2.88E+00,-2.49E+00,-2.06E+00,-1.10E+00,-6.66E-01,
39,-3.84E-01,-7.05E-01,-1.53E+00,-1.94E+00,-2.42E+00,-2.93E+00,-3.26E+00,-2.83E+00,-2.44E+00,-2.02E+00,-1.09E+00,-6.60E-01,
40,-3.81E-01,-6.97E-01,-1.52E+00,-1.91E+00,-2.39E+00,-2.91E+00,-3.22E+00,-2.78E+00,-2.40E+00,-1.99E+00,-1.08E+00,-6.56E-01,
41,-3.77E-01,-6.88E-01,-1.50E+00,-1.89E+00,-2.37E+00,-2.90E+00,-3.18E+00,-2.74E+00,-2.37E+00,-1.95E+00,-1.06E+00,-6.49E-01,
42,-3.73E-01,-6.78E-01,-1.48E+00,-1.86E+00,-2.33E+00,-2.88E+00,-3.13E+00,-2.70E+00,-2.33E+00,-1.92E+00,-1.05E+00,-6.46E-01,
43,-3.70E-01,-6.69E-01,-1.46E+00,-1.84E+00,-2.30E+00,-2.87E+00,-3.09E+00,-2.65E+00,-2.29E+00,-1.89E+00,-1.04E+00,-6.40E-01,
44,-3.66E-01,-6.62E-01,-1.44E+00,-1.82E+00,-2.28E+00,-2.86E+00,-3.06E+00,-2.62E+00,-2.26E+00,-1.86E+00,-1.02E+00,-6.37E-01,
45,-3.63E-01,-6.53E-01,-1.42E+00,-1.80E+00,-2.26E+00,-2.85E+00,-3.02E+00,-2.58E+00,-2.22E+00,-1.84E+00,-1.01E+00,-6.30E-01,
46,-3.59E-01,-6.46E-01,-1.40E+00,-1.78E+00,-2.24E+00,-2.84E+00,-2.99E+00,-2.54E+00,-2.19E+00,-1.81E+00,-1.00E+00,-6.28E-01,
47,-3.57E-01,-6.38E-01,-1.39E+00,-1.76E+00,-2.22E+00,-2.84E+00,-2.96E+00,-2.51E+00,-2.16E+00,-1.79E+00,-9.92E-01,-6.22E-01,
48,-3.53E-01,-6.30E-01,-1.38E+00,-1.74E+00,-2.20E+00,-2.83E+00,-2.93E+00,-2.48E+00,-2.14E+00,-1.77E+00,-9.80E-01,-6.20E-01,
