0,10,1,1,24,22,110,10,60,7600,45
Operating Voltage,GO Conc.,Amine Conc. (mol/L) ,NaOH Conc.  (mol/L),Rxn. Time (hr),Rxn. Temp (�C),Mixing speed (rpm),Drying time (min),Drying Temp (�C),Centrifuge (rpm),Centrifuge (min)
time,2.81,3.08,3.99,4.58,,,,,,
82,-0.482476,-0.522414,-0.646572,-0.77845,,,,,,
83,-0.481039,-0.528664,-0.641572,-0.779074,,,,,,
84,-0.480789,-0.53554,-0.639073,-0.779074,,,,,,
85,-0.480789,-0.543227,-0.637822,-0.78095,,,,,,
86,-0.480976,-0.551415,-0.635322,-0.785325,,,,,,
87,-0.481039,-0.558352,-0.631572,-0.787824,,,,,,
88,-0.481039,-0.565915,-0.629697,-0.789075,,,,,,
89,-0.481226,-0.572728,-0.628448,-0.792825,,,,,,
90,-0.482101,-0.579665,-0.624697,-0.7972,,,,,,
91,-0.483664,-0.587478,-0.619072,-0.800949,,,,,,
92,-0.485476,-0.594415,-0.618447,-0.807825,,,,,,
93,-0.486601,-0.59979,-0.617197,-0.812825,,,,,,
94,-0.488726,-0.605291,-0.616572,-0.8197,,,,,,
95,-0.490664,-0.611916,-0.616572,-0.8272,,,,,,
96,-0.493476,-0.619041,-0.614697,-0.830951,,,,,,
97,-0.496351,-0.625478,-0.613447,-0.83845,,,,,,
98,-0.498289,-0.631353,-0.611572,-0.842825,,,,,,
99,-0.499789,-0.638979,-0.610948,-0.848451,,,,,,
100,-0.502351,-0.644791,-0.609697,-0.855951,,,,,,
