0,10,1,1,24,22,110,10,60,7600,45
Operating Voltage,GO Conc.,Amine Conc. (mol/L) ,NaOH Conc.  (mol/L),Rxn. Time (hr),Rxn. Temp (�C),Mixing speed (rpm),Drying time (min),Drying Temp (�C),Centrifuge (rpm),Centrifuge (min)
Time,0.83,1.07,2.79,3.44,5.15,3.47,2.4,1.75,1.2,0.9
31,-1.20E+00,-1.09E+00,-1.62E+00,-1.66E+00,-1.99E+00,-2.19E+00,-1.70E+00,-1.37E+00,-1.38E+00,-1.14E+00
32,-1.17E+00,-1.08E+00,-1.58E+00,-1.63E+00,-1.95E+00,-2.12E+00,-1.67E+00,-1.35E+00,-1.36E+00,-1.13E+00
33,-1.14E+00,-1.06E+00,-1.55E+00,-1.60E+00,-1.91E+00,-2.06E+00,-1.64E+00,-1.33E+00,-1.34E+00,-1.12E+00
34,-1.11E+00,-1.04E+00,-1.52E+00,-1.57E+00,-1.88E+00,-2.00E+00,-1.61E+00,-1.32E+00,-1.32E+00,-1.11E+00
35,-1.09E+00,-1.03E+00,-1.49E+00,-1.54E+00,-1.85E+00,-1.95E+00,-1.59E+00,-1.30E+00,-1.30E+00,-1.10E+00
36,-1.06E+00,-1.01E+00,-1.47E+00,-1.51E+00,-1.82E+00,-1.90E+00,-1.56E+00,-1.28E+00,-1.28E+00,-1.09E+00
37,-1.04E+00,-1.00E+00,-1.44E+00,-1.49E+00,-1.79E+00,-1.85E+00,-1.54E+00,-1.27E+00,-1.27E+00,-1.08E+00
38,-1.02E+00,-9.89E-01,-1.42E+00,-1.47E+00,-1.76E+00,-1.81E+00,-1.51E+00,-1.26E+00,-1.25E+00,-1.07E+00
39,-1.01E+00,-9.80E-01,-1.40E+00,-1.44E+00,-1.74E+00,-1.77E+00,-1.49E+00,-1.24E+00,-1.24E+00,-1.07E+00
40,-9.89E-01,-9.69E-01,-1.37E+00,-1.42E+00,-1.71E+00,-1.73E+00,-1.47E+00,-1.23E+00,-1.22E+00,-1.06E+00
41,-9.72E-01,-9.58E-01,-1.36E+00,-1.40E+00,-1.69E+00,-1.69E+00,-1.45E+00,-1.22E+00,-1.21E+00,-1.05E+00
42,-9.59E-01,-9.52E-01,-1.34E+00,-1.39E+00,-1.67E+00,-1.66E+00,-1.43E+00,-1.20E+00,-1.20E+00,-1.05E+00
43,-9.44E-01,-9.40E-01,-1.32E+00,-1.37E+00,-1.65E+00,-1.63E+00,-1.41E+00,-1.19E+00,-1.19E+00,-1.04E+00
44,-9.29E-01,-9.32E-01,-1.30E+00,-1.35E+00,-1.63E+00,-1.60E+00,-1.39E+00,-1.18E+00,-1.18E+00,-1.04E+00
45,-9.19E-01,-9.24E-01,-1.29E+00,-1.34E+00,-1.61E+00,-1.57E+00,-1.37E+00,-1.17E+00,-1.17E+00,-1.03E+00
46,-9.08E-01,-9.18E-01,-1.27E+00,-1.32E+00,-1.59E+00,-1.54E+00,-1.36E+00,-1.16E+00,-1.16E+00,-1.03E+00
47,-8.97E-01,-9.10E-01,-1.26E+00,-1.31E+00,-1.58E+00,-1.52E+00,-1.34E+00,-1.15E+00,-1.15E+00,-1.02E+00
48,-8.87E-01,-9.03E-01,-1.24E+00,-1.29E+00,-1.56E+00,-1.49E+00,-1.32E+00,-1.14E+00,-1.14E+00,-1.02E+00
