0,10,1,1,24,22,110,10,60,7600,45,,,,,
Operating Voltage,GO Conc.,Amine Conc. (mol/L) ,NaOH Conc.  (mol/L),Rxn. Time (hr),Rxn. Temp (°C),Mixing speed (rpm),Drying time (min),Drying Temp (°C),Centrifuge (rpm),Centrifuge (min),,,,,
Time,0.79,0.99,2.6,3.39,4.59,6.03,6.68,7.05,5.54,4.88,3.47,2.95,1.88,1.05,0.67
21,-7.89E-01,-8.07E-01,-1.08E+00,-1.45E+00,-2.27E+00,-2.21E+00,-3.29E+00,-3.30E+00,-2.81E+00,-2.45E+00,-2.73E+00,-2.11E+00,-1.23E+00,-1.07E+00,-9.24E-01
22,-7.60E-01,-7.78E-01,-1.05E+00,-1.40E+00,-2.18E+00,-2.13E+00,-3.15E+00,-3.18E+00,-2.67E+00,-2.33E+00,-2.58E+00,-2.01E+00,-1.18E+00,-1.04E+00,-8.99E-01
23,-7.38E-01,-7.55E-01,-1.03E+00,-1.35E+00,-2.10E+00,-2.06E+00,-3.03E+00,-3.07E+00,-2.55E+00,-2.23E+00,-2.45E+00,-1.93E+00,-1.14E+00,-1.01E+00,-8.76E-01
24,-7.18E-01,-7.35E-01,-1.00E+00,-1.31E+00,-2.04E+00,-2.00E+00,-2.92E+00,-2.98E+00,-2.45E+00,-2.14E+00,-2.34E+00,-1.86E+00,-1.10E+00,-9.78E-01,-8.56E-01
25,-6.99E-01,-7.18E-01,-9.83E-01,-1.27E+00,-1.97E+00,-1.94E+00,-2.82E+00,-2.89E+00,-2.35E+00,-2.06E+00,-2.24E+00,-1.79E+00,-1.07E+00,-9.51E-01,-8.39E-01
26,-6.83E-01,-7.00E-01,-9.65E-01,-1.24E+00,-1.92E+00,-1.89E+00,-2.73E+00,-2.80E+00,-2.27E+00,-1.99E+00,-2.15E+00,-1.73E+00,-1.04E+00,-9.30E-01,-8.22E-01
27,-6.69E-01,-6.84E-01,-9.49E-01,-1.21E+00,-1.86E+00,-1.85E+00,-2.66E+00,-2.73E+00,-2.19E+00,-1.92E+00,-2.06E+00,-1.67E+00,-1.01E+00,-9.10E-01,-8.08E-01
28,-6.58E-01,-6.62E-01,-9.30E-01,-1.18E+00,-1.82E+00,-1.81E+00,-2.59E+00,-2.66E+00,-2.12E+00,-1.86E+00,-1.99E+00,-1.62E+00,-9.89E-01,-8.93E-01,-7.98E-01
29,-6.47E-01,-6.47E-01,-9.17E-01,-1.15E+00,-1.77E+00,-1.77E+00,-2.53E+00,-2.60E+00,-2.06E+00,-1.81E+00,-1.92E+00,-1.57E+00,-9.69E-01,-8.79E-01,-7.87E-01
30,-6.38E-01,-6.33E-01,-9.02E-01,-1.13E+00,-1.73E+00,-1.74E+00,-2.47E+00,-2.54E+00,-2.00E+00,-1.76E+00,-1.86E+00,-1.53E+00,-9.50E-01,-8.61E-01,-7.77E-01
31,-6.28E-01,-6.20E-01,-8.89E-01,-1.11E+00,-1.70E+00,-1.71E+00,-2.41E+00,-2.49E+00,-1.95E+00,-1.72E+00,-1.81E+00,-1.50E+00,-9.36E-01,-8.49E-01,-7.67E-01
32,-6.19E-01,-6.11E-01,-8.79E-01,-1.09E+00,-1.66E+00,-1.68E+00,-2.35E+00,-2.44E+00,-1.90E+00,-1.67E+00,-1.76E+00,-1.46E+00,-9.19E-01,-8.39E-01,-7.58E-01
33,-6.11E-01,-6.05E-01,-8.68E-01,-1.07E+00,-1.63E+00,-1.65E+00,-2.30E+00,-2.40E+00,-1.85E+00,-1.63E+00,-1.71E+00,-1.43E+00,-9.07E-01,-8.29E-01,-7.49E-01
34,-6.05E-01,-5.98E-01,-8.55E-01,-1.06E+00,-1.60E+00,-1.63E+00,-2.26E+00,-2.35E+00,-1.81E+00,-1.60E+00,-1.66E+00,-1.40E+00,-8.91E-01,-8.19E-01,-7.40E-01
35,-5.98E-01,-5.89E-01,-8.42E-01,-1.04E+00,-1.57E+00,-1.61E+00,-2.21E+00,-2.31E+00,-1.78E+00,-1.57E+00,-1.63E+00,-1.37E+00,-8.79E-01,-8.08E-01,-7.36E-01
36,-5.91E-01,-5.84E-01,-8.32E-01,-1.02E+00,-1.55E+00,-1.58E+00,-2.17E+00,-2.28E+00,-1.74E+00,-1.54E+00,-1.59E+00,-1.34E+00,-8.69E-01,-7.98E-01,-7.28E-01
37,-5.88E-01,-5.78E-01,-8.24E-01,-1.01E+00,-1.52E+00,-1.56E+00,-2.13E+00,-2.24E+00,-1.71E+00,-1.51E+00,-1.55E+00,-1.31E+00,-8.59E-01,-7.89E-01,-7.22E-01
38,-5.80E-01,-5.73E-01,-8.14E-01,-9.99E-01,-1.50E+00,-1.55E+00,-2.10E+00,-2.21E+00,-1.68E+00,-1.48E+00,-1.52E+00,-1.29E+00,-8.49E-01,-7.79E-01,-7.18E-01
39,-5.77E-01,-5.68E-01,-8.06E-01,-9.85E-01,-1.48E+00,-1.53E+00,-2.07E+00,-2.18E+00,-1.66E+00,-1.46E+00,-1.49E+00,-1.26E+00,-8.39E-01,-7.70E-01,-7.10E-01
40,-5.70E-01,-5.64E-01,-7.98E-01,-9.74E-01,-1.46E+00,-1.51E+00,-2.04E+00,-2.15E+00,-1.63E+00,-1.43E+00,-1.46E+00,-1.24E+00,-8.29E-01,-7.65E-01,-7.07E-01
41,-5.68E-01,-5.59E-01,-7.89E-01,-9.62E-01,-1.44E+00,-1.50E+00,-2.01E+00,-2.12E+00,-1.60E+00,-1.41E+00,-1.44E+00,-1.22E+00,-8.20E-01,-7.58E-01,-7.00E-01
42,-5.62E-01,-5.57E-01,-7.79E-01,-9.52E-01,-1.42E+00,-1.48E+00,-1.98E+00,-2.09E+00,-1.58E+00,-1.39E+00,-1.41E+00,-1.20E+00,-8.13E-01,-7.49E-01,-6.98E-01
43,-5.58E-01,-5.49E-01,-7.70E-01,-9.40E-01,-1.40E+00,-1.47E+00,-1.95E+00,-2.06E+00,-1.56E+00,-1.37E+00,-1.38E+00,-1.18E+00,-8.05E-01,-7.43E-01,-6.93E-01
