pH,Temperature,Rinse
6.4,24,1
Time,5.5,NaN
0,-13.7815,NaN
1,-9.90653,NaN
2,-7.9689,NaN
3,-6.96898,NaN
4,-6.15644,NaN
5,-5.58447,NaN
6,-5.19071,NaN
7,-4.88445,NaN
8,-4.63445,NaN
9,-4.4157,NaN
10,-4.22819,NaN
11,-4.05943,NaN
12,-3.9032,NaN
13,-3.75975,NaN
14,-3.63037,NaN
15,-3.51037,NaN
16,-3.40037,NaN
17,-3.29786,NaN
18,-3.20286,NaN
19,-3.11473,NaN
20,-3.03348,NaN
21,-2.95786,NaN
22,-2.88723,NaN
23,-2.82098,NaN
24,-2.7591,NaN
25,-2.70035,NaN
26,-2.64598,NaN
27,-2.59473,NaN
28,-2.54598,NaN
29,-2.50035,NaN
30,-2.4566,NaN
31,-2.41535,NaN
32,-2.37597,NaN
33,-2.33847,NaN
34,-2.30222,NaN
35,-2.26847,NaN
36,-2.23597,NaN
37,-2.20472,NaN
38,-2.17472,NaN
39,-2.14597,NaN
40,-2.11847,NaN
41,-2.09159,NaN
42,-2.06597,NaN
43,-2.04159,NaN
44,-2.01784,NaN
45,-1.99534,NaN
46,-1.97284,NaN
47,-1.95222,NaN
48,-1.93159,NaN
49,-1.91159,NaN
50,-1.89347,NaN
