pH,Temperature,Rinse
7.04,30,1
Time,0.8,NaN
0,-2.03133,NaN
1,-1.78123,NaN
2,-1.28126,NaN
3,-1.0314,NaN
4,-0.968695,NaN
5,-0.85938,NaN
6,-0.79689,NaN
7,-0.75314,NaN
8,-0.715637,NaN
9,-0.684381,NaN
10,-0.647823,NaN
11,-0.622197,NaN
12,-0.598447,NaN
13,-0.577822,NaN
14,-0.558447,NaN
15,-0.540321,NaN
16,-0.52407,NaN
17,-0.50907,NaN
18,-0.495945,NaN
19,-0.48282,NaN
20,-0.47157,NaN
21,-0.46032,NaN
22,-0.45032,NaN
23,-0.440943,NaN
24,-0.43282,NaN
25,-0.424695,NaN
26,-0.415975,NaN
27,-0.408975,NaN
28,-0.402537,NaN
29,-0.396537,NaN
30,-0.391037,NaN
31,-0.385912,NaN
32,-0.381225,NaN
33,-0.377037,NaN
34,-0.373349,NaN
35,-0.370162,NaN
36,-0.367412,NaN
37,-0.365412,NaN
38,-0.363849,NaN
39,-0.363037,NaN
40,-0.362787,NaN
41,-0.363099,NaN
42,-0.364099,NaN
43,-0.365537,NaN
44,-0.367412,NaN
45,-0.369537,NaN
46,-0.371849,NaN
47,-0.374225,NaN
48,-0.3766,NaN
49,-0.378975,NaN
50,-0.381037,NaN
