pH,Temperature
5.2,24
Time,2.2
0,-6.90627
1,-4.90642
2,-3.90625
3,-3.28135
4,-2.96879
5,-2.59693
6,-2.39692
7,-2.24066
8,-2.10316
9,-1.99065
10,-1.89409
11,-1.80972
12,-1.73534
13,-1.67034
14,-1.61096
15,-1.55721
16,-1.50846
17,-1.46409
18,-1.42283
19,-1.38533
20,-1.35033
21,-1.31783
22,-1.28783
23,-1.25908
24,-1.23221
25,-1.20721
26,-1.18346
27,-1.16158
28,-1.14033
29,-1.12095
30,-1.10158
31,-1.08345
32,-1.06658
33,-1.05095
34,-1.0347
35,-1.0197
36,-1.00533
37,-0.991578
38,-0.978453
39,-0.965327
40,-0.953453
41,-0.941577
42,-0.930327
43,-0.919702
44,-0.909077
45,-0.899076
46,-0.889076
47,-0.879701
48,-0.870326
49,-0.861576
50,-0.852826
