pH,Temperature,,,,,,,,,,,
7.4,24,,,,,,,,,,,
Time,1.17,1.17,1.17,2.46,2.46,2.46,3.8,3.8,3.8,6.26,6.26,6.26
0,-3.84378,-3.28135,-3.03125,-6.71887,-6.34384,-6.28138,-10.0939,-9.78136,-9.78136,-16.9065,-16.7191,-16.4065
1,-2.46882,-2.09379,-2.03133,-4.78125,-4.59385,-4.53138,-7.03144,-6.90627,-6.90627,-11.9689,-11.9689,-11.8439
2,-1.90639,-1.90639,-1.90639,-3.90625,-3.78132,-3.84378,-5.90634,-5.84388,-5.84388,-9.90653,-9.90653,-9.78136
3,-1.84369,-1.71876,-1.59383,-3.09372,-3.03125,-3.03125,-4.96888,-4.96888,-4.96888,-8.71897,-8.6565,-8.34394
4,-1.59383,-1.34373,-1.28126,-2.90632,-2.90632,-2.90632,-4.65631,-4.53138,-4.53138,-7.84397,-7.78151,-7.65634
5,-1.18439,-1.11563,-1.09065,-2.45941,-2.43442,-2.4219,-3.95944,-3.93443,-3.89068,-6.89698,-6.80323,-6.70323
6,-1.0844,-1.02189,-1.00939,-2.27191,-2.2469,-2.23441,-3.65944,-3.65319,-3.60317,-6.40322,-6.29072,-6.21573
7,-1.00315,-0.95315,-0.946879,-2.11565,-2.09692,-2.0844,-3.41568,-3.42817,-3.37193,-6.00947,-5.88447,-5.81572
8,-0.940633,-0.890636,-0.88439,-1.98441,-1.98441,-1.96567,-3.21567,-3.24693,-3.17817,-5.67821,-5.54072,-5.49071
9,-0.88439,-0.846887,-0.84064,-1.87817,-1.8719,-1.86565,-3.04692,-3.08442,-3.00317,-5.3907,-5.25945,-5.20946
10,-0.834075,-0.796574,-0.794075,-1.78471,-1.78097,-1.76597,-2.89786,-2.94786,-2.86098,-5.14696,-5.0032,-4.9657
11,-0.792825,-0.758449,-0.760324,-1.70471,-1.70346,-1.68846,-2.77098,-2.82661,-2.73535,-4.92195,-4.79071,-4.75945
12,-0.757824,-0.725949,-0.732199,-1.63409,-1.63471,-1.61971,-2.65973,-2.71785,-2.62535,-4.7282,-4.59695,-4.57194
13,-0.726573,-0.697198,-0.704074,-1.57096,-1.57409,-1.55846,-2.56035,-2.61973,-2.5266,-4.5532,-4.43444,-4.39694
14,-0.698448,-0.671573,-0.679698,-1.51534,-1.51846,-1.50409,-2.47097,-2.53035,-2.43722,-4.39069,-4.27818,-4.2532
15,-0.673448,-0.648447,-0.657823,-1.46471,-1.46909,-1.45409,-2.38972,-2.44785,-2.3566,-4.24225,-4.13725,-4.10943
16,-0.651573,-0.627823,-0.637822,-1.41908,-1.42283,-1.40908,-2.31597,-2.37222,-2.28347,-4.10913,-4.011,-3.98725
17,-0.630323,-0.607822,-0.619698,-1.37721,-1.38096,-1.36783,-2.2491,-2.30285,-2.21597,-3.98787,-3.896,-3.8735
18,-0.611572,-0.589696,-0.604072,-1.33846,-1.34221,-1.32971,-2.1866,-2.23785,-2.15472,-3.876,-3.78912,-3.76787
19,-0.593446,-0.573447,-0.587822,-1.30283,-1.30658,-1.29533,-2.1291,-2.17785,-2.09785,-3.77037,-3.69099,-3.67099
