pH,Temperature,Rinse
7.4,24,1
Time,5.5,NaN
0,-13.844,NaN
1,-9.90653,NaN
2,-7.9689,NaN
3,-6.96898,NaN
4,-6.21891,NaN
5,-5.59071,NaN
6,-5.1782,NaN
7,-4.8407,NaN
8,-4.56569,NaN
9,-4.32193,NaN
10,-4.12195,NaN
11,-3.94695,NaN
12,-3.78537,NaN
13,-3.64599,NaN
14,-3.52037,NaN
15,-3.40724,NaN
16,-3.30411,NaN
17,-3.20974,NaN
18,-3.12161,NaN
19,-3.04098,NaN
20,-2.96598,NaN
21,-2.89598,NaN
22,-2.83098,NaN
23,-2.76973,NaN
24,-2.7116,NaN
25,-2.65785,NaN
26,-2.6066,NaN
27,-2.55848,NaN
28,-2.51285,NaN
29,-2.4691,NaN
30,-2.42723,NaN
31,-2.38847,NaN
32,-2.35035,NaN
33,-2.31472,NaN
34,-2.28035,NaN
35,-2.24722,NaN
36,-2.21535,NaN
37,-2.18535,NaN
38,-2.15597,NaN
39,-2.12785,NaN
40,-2.10097,NaN
41,-2.07472,NaN
42,-2.04972,NaN
43,-2.02597,NaN
44,-2.00284,NaN
45,-1.97972,NaN
46,-1.95847,NaN
47,-1.93659,NaN
48,-1.91659,NaN
49,-1.89659,NaN
50,-1.87784,NaN
