pH,Temperature,Rinse
7.4,24,1
Time,2.2,NaN
0,-5.28145,NaN
1,-3.90625,NaN
2,-3.09372,NaN
3,-2.90632,NaN
4,-2.78139,NaN
5,-2.27816,NaN
6,-2.1219,NaN
7,-1.99065,NaN
8,-1.89066,NaN
9,-1.79691,NaN
10,-1.72034,NaN
11,-1.65221,NaN
12,-1.59159,NaN
13,-1.53721,NaN
14,-1.48721,NaN
15,-1.44284,NaN
16,-1.40158,NaN
17,-1.36346,NaN
18,-1.32846,NaN
19,-1.29596,NaN
20,-1.26471,NaN
21,-1.23596,NaN
22,-1.20971,NaN
23,-1.18408,NaN
24,-1.16096,NaN
25,-1.13845,NaN
26,-1.11783,NaN
27,-1.09783,NaN
28,-1.07845,NaN
29,-1.06095,NaN
30,-1.04408,NaN
31,-1.02783,NaN
32,-1.01158,NaN
33,-0.997202,NaN
34,-0.982828,NaN
35,-0.969077,NaN
36,-0.955952,NaN
37,-0.943452,NaN
38,-0.931576,NaN
39,-0.919702,NaN
40,-0.908451,NaN
41,-0.897826,NaN
42,-0.887201,NaN
43,-0.877202,NaN
44,-0.867826,NaN
45,-0.857825,NaN
46,-0.848451,NaN
47,-0.839701,NaN
48,-0.830951,NaN
49,-0.822825,NaN
50,-0.8147,NaN
